arm,label,seed,gpu,repeat,candidate_slots
ls,LS,1884470933,0,0,5696.0
ls,LS,1884470933,0,1,5696.0
ls,LS,1884470933,0,2,5696.0
ls,LS,1884470933,1,0,5696.0
ls,LS,1884470933,1,1,5696.0
ls,LS,1884470933,1,2,5696.0
ls,LS,1884470933,2,0,5696.0
ls,LS,1884470933,2,1,5696.0
ls,LS,1884470933,2,2,5696.0
ls,LS,1884470933,3,0,5696.0
ls,LS,1884470933,3,1,5696.0
ls,LS,1884470933,3,2,5696.0
ls,LS,55048408,0,0,5696.0
ls,LS,55048408,0,1,5696.0
ls,LS,55048408,0,2,5696.0
ls,LS,55048408,1,0,5696.0
ls,LS,55048408,1,1,5696.0
ls,LS,55048408,1,2,5696.0
ls,LS,55048408,2,0,5696.0
ls,LS,55048408,2,1,5696.0
ls,LS,55048408,2,2,5696.0
ls,LS,55048408,3,0,5696.0
ls,LS,55048408,3,1,5696.0
ls,LS,55048408,3,2,5696.0
ls,LS,979986572,0,0,5696.0
ls,LS,979986572,0,1,5696.0
ls,LS,979986572,0,2,5696.0
ls,LS,979986572,1,0,5696.0
ls,LS,979986572,1,1,5696.0
ls,LS,979986572,1,2,5696.0
ls,LS,979986572,2,0,5696.0
ls,LS,979986572,2,1,5696.0
ls,LS,979986572,2,2,5696.0
ls,LS,979986572,3,0,5696.0
ls,LS,979986572,3,1,5696.0
ls,LS,979986572,3,2,5696.0
la,LA,1884470933,0,0,3128.0
la,LA,1884470933,0,1,3128.0
la,LA,1884470933,0,2,3128.0
la,LA,1884470933,1,0,3128.0
la,LA,1884470933,1,1,3128.0
la,LA,1884470933,1,2,3128.0
la,LA,1884470933,2,0,3128.0
la,LA,1884470933,2,1,3128.0
la,LA,1884470933,2,2,3128.0
la,LA,1884470933,3,0,3128.0
la,LA,1884470933,3,1,3128.0
la,LA,1884470933,3,2,3128.0
la,LA,55048408,0,0,3128.0
la,LA,55048408,0,1,3128.0
la,LA,55048408,0,2,3128.0
la,LA,55048408,1,0,3128.0
la,LA,55048408,1,1,3128.0
la,LA,55048408,1,2,3128.0
la,LA,55048408,2,0,3128.0
la,LA,55048408,2,1,3128.0
la,LA,55048408,2,2,3128.0
la,LA,55048408,3,0,3128.0
la,LA,55048408,3,1,3128.0
la,LA,55048408,3,2,3128.0
la,LA,979986572,0,0,3128.0
la,LA,979986572,0,1,3128.0
la,LA,979986572,0,2,3128.0
la,LA,979986572,1,0,3128.0
la,LA,979986572,1,1,3128.0
la,LA,979986572,1,2,3128.0
la,LA,979986572,2,0,3128.0
la,LA,979986572,2,1,3128.0
la,LA,979986572,2,2,3128.0
la,LA,979986572,3,0,3128.0
la,LA,979986572,3,1,3128.0
la,LA,979986572,3,2,3128.0
cs,CS,1884470933,0,0,5696.0
cs,CS,1884470933,0,1,5696.0
cs,CS,1884470933,0,2,5696.0
cs,CS,1884470933,1,0,5696.0
cs,CS,1884470933,1,1,5696.0
cs,CS,1884470933,1,2,5696.0
cs,CS,1884470933,2,0,5696.0
cs,CS,1884470933,2,1,5696.0
cs,CS,1884470933,2,2,5696.0
cs,CS,1884470933,3,0,5696.0
cs,CS,1884470933,3,1,5696.0
cs,CS,1884470933,3,2,5696.0
cs,CS,55048408,0,0,5696.0
cs,CS,55048408,0,1,5696.0
cs,CS,55048408,0,2,5696.0
cs,CS,55048408,1,0,5696.0
cs,CS,55048408,1,1,5696.0
cs,CS,55048408,1,2,5696.0
cs,CS,55048408,2,0,5696.0
cs,CS,55048408,2,1,5696.0
cs,CS,55048408,2,2,5696.0
cs,CS,55048408,3,0,5696.0
cs,CS,55048408,3,1,5696.0
cs,CS,55048408,3,2,5696.0
cs,CS,979986572,0,0,5696.0
cs,CS,979986572,0,1,5696.0
cs,CS,979986572,0,2,5696.0
cs,CS,979986572,1,0,5696.0
cs,CS,979986572,1,1,5696.0
cs,CS,979986572,1,2,5696.0
cs,CS,979986572,2,0,5696.0
cs,CS,979986572,2,1,5696.0
cs,CS,979986572,2,2,5696.0
cs,CS,979986572,3,0,5696.0
cs,CS,979986572,3,1,5696.0
cs,CS,979986572,3,2,5696.0
ca,CA,1884470933,0,0,3128.0
ca,CA,1884470933,0,1,3128.0
ca,CA,1884470933,0,2,3128.0
ca,CA,1884470933,1,0,3128.0
ca,CA,1884470933,1,1,3128.0
ca,CA,1884470933,1,2,3128.0
ca,CA,1884470933,2,0,3128.0
ca,CA,1884470933,2,1,3128.0
ca,CA,1884470933,2,2,3128.0
ca,CA,1884470933,3,0,3128.0
ca,CA,1884470933,3,1,3128.0
ca,CA,1884470933,3,2,3128.0
ca,CA,55048408,0,0,3128.0
ca,CA,55048408,0,1,3128.0
ca,CA,55048408,0,2,3128.0
ca,CA,55048408,1,0,3128.0
ca,CA,55048408,1,1,3128.0
ca,CA,55048408,1,2,3128.0
ca,CA,55048408,2,0,3128.0
ca,CA,55048408,2,1,3128.0
ca,CA,55048408,2,2,3128.0
ca,CA,55048408,3,0,3128.0
ca,CA,55048408,3,1,3128.0
ca,CA,55048408,3,2,3128.0
ca,CA,979986572,0,0,3128.0
ca,CA,979986572,0,1,3128.0
ca,CA,979986572,0,2,3128.0
ca,CA,979986572,1,0,3128.0
ca,CA,979986572,1,1,3128.0
ca,CA,979986572,1,2,3128.0
ca,CA,979986572,2,0,3128.0
ca,CA,979986572,2,1,3128.0
ca,CA,979986572,2,2,3128.0
ca,CA,979986572,3,0,3128.0
ca,CA,979986572,3,1,3128.0
ca,CA,979986572,3,2,3128.0
